Epoch,Image Index,Original Age Prediction,Original Gender Prediction,Adversarial Age Prediction,Adversarial Gender Prediction
13,1,[28.966164],[0.4541822  0.61022544],[28.627377],[-1.2109025  -0.13679059]
14,0,[31.627666],[ 0.00913343 -0.02276288],[26.305902],[-0.41092622 -0.5154909 ]
14,1,[30.285027],[-0.98535967 -0.03275099],[50.70473],[-3.0476017  2.3668745]
15,0,[52.237854],[-1.784539   1.2691121],[31.47145],[-1.2140697   0.04062478]
15,1,[27.515785],[-2.0095518 -1.286067 ],[28.530394],[-1.9336957   0.44329035]
16,0,[31.619743],[-0.86157703  0.62535715],[20.672947],[ 0.22529118 -1.4125227 ]
16,1,[42.54248],[-1.5183643  1.1519433],[75.424065],[-7.212019  2.647893]
17,0,[25.924593],[0.3649509  0.44806486],[68.95132],[-3.878769   -0.73479646]
17,1,[46.892628],[-3.1624603 -0.7766684],[51.279743],[-2.4912071  2.0015337]
18,0,[29.573029],[-0.38140774 -0.5833818 ],[27.764435],[-0.8573494 -0.7642629]
18,1,[47.984043],[-1.0084049  0.5199447],[28.72942],[-1.7007744   0.19889198]
19,0,[40.629967],[-0.94001305 -0.3940931 ],[31.103655],[-1.1878213  -0.17003055]
19,1,[23.736422],[ 0.5723866  -0.73008287],[25.419498],[ 0.02587351 -1.7406969 ]
20,0,[45.558567],[-3.0164516  1.2879944],[27.37268],[-0.685863  -1.2453012]
20,1,[40.034576],[-1.4212713  1.6385235],[58.316566],[-4.1023827  1.4609644]
21,0,[58.297832],[-4.3639975  0.6513074],[30.144268],[0.10367094 0.00344326]
21,1,[32.387848],[-1.8376602  -0.05071508],[35.452255],[-2.3872602  1.7153671]
22,0,[21.840849],[-0.03639443 -0.31046999],[63.53924],[-5.1975164  0.7904132]
22,1,[42.034573],[-1.461285   0.5654146],[20.104277],[2.2993097  0.46810228]
23,0,[41.900963],[-2.8410919   0.08673258],[24.219135],[-0.15152277  0.48697358]
23,1,[27.205038],[-0.47735983 -1.185401  ],[58.063023],[-3.007737  2.070762]
24,0,[46.456482],[-3.9500904   0.63389707],[73.88886],[-3.886548  2.428996]
24,1,[33.582314],[-2.6195753 -1.3238077],[24.972136],[-0.61768746 -0.13711178]
25,0,[25.56744],[-0.45275152  0.31438607],[58.403248],[-3.3952372  -0.52529067]
25,1,[37.37665],[-1.2234936  1.2329469],[58.060513],[-2.9270277  -0.13691026]
26,0,[36.823624],[-0.7155769  1.935086 ],[29.415253],[-0.3378178 -0.9800854]
26,1,[34.93522],[-0.71503663  1.0019275 ],[69.87537],[-5.5494366  1.1451142]
27,0,[28.317764],[-0.46354598  0.6558089 ],[28.31501],[-0.6765676  -0.63008213]
27,1,[39.265606],[-1.844989    0.97634166],[25.758543],[-0.22609119 -0.05722933]
28,0,[34.576588],[-1.2656869  1.7864099],[50.9134],[-3.0789568  2.9437408]
28,1,[37.711987],[-1.2744865  -0.01810716],[53.77298],[-3.823553    0.47022468]
29,0,[29.876759],[-0.6415888 -0.5561131],[30.5786],[-0.7490951  0.0022345]
29,1,[30.262379],[-1.8150533   0.32153445],[67.23587],[-4.866782   1.5898701]
30,0,[30.948597],[-0.60712504  0.8713185 ],[23.477428],[ 0.1188501 -0.5673269]
30,1,[33.58515],[-1.6142102  1.0883218],[68.76096],[-5.981198   3.1838913]
31,0,[46.97601],[-1.8295966  1.7863024],[31.1271],[-2.7889416  0.8364698]
31,1,[30.036129],[-1.5811973   0.00709184],[26.793571],[-0.54331    -0.72875273]
32,0,[23.70951],[ 0.05358469 -0.10091075],[19.844355],[0.36636972 1.4386516 ]
32,1,[36.592007],[-1.0223429  1.0615327],[61.86342],[-3.1748202  -0.94641834]
33,0,[36.263348],[-2.635434   -0.31925887],[34.35011],[-1.2582034   0.15793182]
33,1,[28.375622],[0.12162235 1.4202902 ],[28.498358],[-0.62123173 -1.2285157 ]
34,0,[31.674034],[-0.6106163   0.08004604],[24.925415],[-1.4524978  -0.43620646]
34,1,[34.466866],[-1.7427516   0.57360107],[63.69707],[-3.1696362  2.7146184]
35,0,[35.127163],[-1.8732632   0.41191995],[57.19051],[-5.8612857  3.269406 ]
35,1,[39.328106],[-2.0757446   0.48557407],[27.544607],[ 1.2379698 -0.7123364]
36,0,[28.373184],[-0.04543637 -0.97813475],[58.733387],[-4.78667    3.2244556]
36,1,[65.74128],[-5.7354374  4.41833  ],[23.341745],[-0.3544157 -0.555215 ]
37,0,[26.877499],[ 0.9819801  -0.07582369],[28.230701],[-0.448739   -0.27750188]
37,1,[34.2779],[-1.9434644 -1.0591949],[40.68288],[-1.6652374  0.5806952]
38,0,[37.307533],[-1.2987646  -0.31594515],[37.053246],[-1.4656484   0.17137595]
38,1,[30.479504],[-0.4437399 -0.5869469],[34.43127],[-0.9385084  0.1692058]
39,0,[31.621124],[-0.5996637 -0.6238508],[25.02124],[-0.08929367 -0.8770783 ]
39,1,[36.750313],[-0.77006215 -1.7216368 ],[34.016308],[-2.1674976 -0.2612319]
40,0,[29.775503],[-1.34444     0.40251362],[61.605515],[-3.3080456 -0.7675423]
40,1,[36.41928],[-1.4353856   0.77846545],[30.73709],[ 0.8788403  -0.42950606]
41,0,[46.13896],[-1.3560061  1.4254229],[27.014292],[-0.624475   -0.67133874]
41,1,[60.260624],[-3.633802    0.83479273],[65.49834],[-4.7144513  2.809358 ]
42,0,[39.86024],[-4.4469905   0.12300892],[29.4839],[1.2978022 2.8077536]
42,1,[27.563835],[-0.971583  -0.6880188],[29.223026],[-0.7360395  1.2455479]
43,0,[21.337866],[0.35770005 1.0422943 ],[30.905622],[-0.51708746  0.02384768]
43,1,[36.138268],[-1.1158756   0.41817957],[28.343924],[-1.3592112  0.7618608]
44,0,[31.432013],[-1.0660651  -0.41543466],[54.156384],[-4.903017   2.8154304]
44,1,[40.20339],[-1.7700183  2.8540587],[36.05053],[-1.5236663   0.45950335]
45,0,[37.379364],[-2.505509   1.4453942],[26.039944],[-0.6709887  0.8789337]
45,1,[42.91685],[-1.9770609  1.2038379],[26.099823],[ 0.00993076 -0.30624145]
46,0,[48.093372],[-2.8531172  1.2922778],[23.741617],[-0.23998581 -1.8347532 ]
46,1,[33.690086],[-1.2133778 -0.3202855],[30.49357],[-0.8040637   0.00713246]
47,0,[30.579273],[-0.613859  1.347029],[43.883312],[-2.435875    0.05028646]
47,1,[30.431217],[-1.932597   -0.28702873],[49.553333],[-3.3907113  1.0104938]
48,0,[33.250244],[-1.2789075   0.75157934],[29.616604],[-0.8740721 -1.3154007]
48,1,[41.351322],[-2.543606   1.8191831],[26.93319],[-0.45643044  0.6267068 ]
49,0,[33.241955],[-1.089001  -0.3876312],[49.907944],[-2.6812172  1.9633038]
49,1,[25.762674],[ 0.24043767 -0.4654129 ],[58.87523],[-3.7135148   0.30661505]
50,0,[29.686543],[-0.33083403 -0.19279431],[24.62819],[-0.6287046   0.09791796]
50,1,[28.917042],[-0.8517703  0.4291336],[74.806984],[-3.6582208  -0.02127407]
51,0,[29.837553],[-1.2858516   0.68972784],[45.420048],[-2.2414434   0.33407956]
51,1,[33.57564],[-0.82757175  0.29147255],[58.024868],[-3.315178  0.777927]
52,0,[26.236467],[-1.066065  -1.0922775],[49.217827],[-1.6154106  1.7081101]
52,1,[52.874737],[-2.3318713   0.46724886],[59.004784],[-4.787427   0.7551035]
53,0,[51.30017],[-3.2901845  1.1876161],[57.416355],[-3.285183   0.6796418]
53,1,[29.160828],[-1.2998428   0.77049184],[62.566345],[-4.581092   1.0850224]
54,0,[27.702785],[-0.6931746 -0.1845843],[25.987831],[-0.7989057  -0.62467927]
54,1,[32.781372],[-1.3468807  -0.42187238],[71.89779],[-5.7049737  1.641097 ]
55,0,[42.20893],[-1.8086907  0.6330015],[25.8118],[-1.0645572  0.458084 ]
55,1,[31.496687],[0.2560027 1.5463542],[72.479454],[-5.3559723  1.5725725]
56,0,[31.414318],[-0.9131081 -0.5351479],[32.93491],[0.27436745 0.7576001 ]
56,1,[59.32002],[-5.1522393   0.10268547],[73.4393],[-5.2926183  1.5007546]
57,0,[37.556858],[-1.2151337  0.4106025],[28.436716],[-0.9807147  -0.19011906]
57,1,[34.782112],[-1.5003844   0.02665669],[72.78649],[-3.452301  2.550252]
58,0,[22.427017],[-1.0366029  -0.08827683],[34.55283],[-1.3544488  -0.11665228]
58,1,[38.19819],[-1.5647463   0.40581512],[52.47748],[-1.4821957  1.0726358]
59,0,[33.12562],[-1.3661575  1.1409636],[23.577494],[ 0.84929323 -0.55792105]
59,1,[19.194199],[ 0.01547749 -1.4018495 ],[65.79301],[-2.3984902  -0.07361232]
60,0,[51.527596],[-3.1446664  0.3278532],[24.789953],[-0.86005175  0.24248977]
60,1,[27.846943],[-0.13298224 -0.7349343 ],[70.13766],[-5.253016  2.895233]
61,0,[26.754417],[-4.8906958e-01 -1.5318394e-05],[31.173008],[ 0.16715182 -0.37813675]
61,1,[40.803337],[-1.282701   0.0732436],[26.576227],[ 0.53486377 -0.81323797]
62,0,[51.281563],[-1.002854    0.16977002],[27.641563],[ 0.14889666 -0.8591187 ]
62,1,[25.986408],[-1.1513659 -0.6436919],[36.76255],[-0.6849561  1.5288589]
63,0,[32.062283],[ 0.622474   -0.77199936],[20.389404],[ 0.0306676 -0.7681625]
63,1,[29.65795],[-1.8540088   0.16525175],[61.264977],[-5.084105  3.838785]
64,0,[28.932568],[-0.8291646   0.35667866],[25.085083],[-0.72725254 -0.50958437]
64,1,[26.009533],[-0.24212496 -0.70363206],[62.674515],[-5.955575  3.728287]
65,0,[26.895788],[-0.4813621  -0.97713965],[28.453602],[-0.49873376 -0.47308284]
65,1,[52.629936],[-3.033304  -0.9038396],[33.539154],[-1.7630498 -0.1754186]
66,0,[44.419865],[0.01937082 0.27789813],[60.63217],[-5.629204   2.4234583]
66,1,[31.923906],[-1.6823509  -0.15015738],[41.136635],[-0.87848747  0.05368619]
67,0,[26.786022],[-0.8833506 -0.7882831],[28.407507],[-1.4980433 -1.2503097]
67,1,[39.46493],[-0.5024882 -0.9855737],[34.600838],[-1.51274   -0.7818499]
68,0,[27.65317],[-0.5908991  0.9516699],[41.351948],[-2.795165   -0.04690982]
68,1,[29.764494],[0.1834296 0.2079397],[26.060541],[-1.1745931  -0.28734583]
69,0,[34.349586],[-1.1224499   0.47710568],[31.31664],[-0.15410958  0.18642224]
69,1,[32.867855],[-1.3107387 -0.5218169],[87.18067],[-6.4992385  1.5580971]
70,0,[41.302986],[-3.4430943  1.0325875],[26.608278],[-0.3983646 -0.501528 ]
70,1,[26.674707],[-0.21985663 -0.40948927],[28.880919],[ 0.37530667 -0.910505  ]
71,0,[38.440567],[-1.2513499  -0.15642004],[37.449852],[-2.2865655   0.24581288]
71,1,[28.280094],[-1.3038801  -0.08350151],[53.390064],[-2.395982  -1.8435915]
72,0,[55.245754],[-3.427878    0.26148117],[29.937166],[-1.4231404 -1.3464267]
72,1,[32.605377],[-2.7097688   0.13874398],[28.814493],[-0.91218174 -0.11691247]
73,0,[30.830767],[-2.6727366  0.9933079],[66.65406],[-4.6555133  0.8508815]
73,1,[35.4195],[-1.697261  -1.0084434],[23.170036],[ 0.21772806 -0.00680612]
74,0,[33.982124],[-0.27288556  0.66169983],[45.14974],[-2.77334    1.1571805]
74,1,[24.097397],[-0.60306716 -0.60407627],[48.30362],[-1.9088231  0.8743977]
75,0,[31.911587],[-1.2666814  -0.41732717],[28.517574],[-1.0987774 -0.6306864]
75,1,[33.180923],[-1.1125325   0.70199937],[28.860619],[-0.1831703   0.06108193]
76,0,[43.212914],[-1.3190348  1.0270109],[72.54933],[-4.922606   1.8754349]
76,1,[27.371775],[-0.06010105 -0.21941318],[23.489973],[ 0.07084332 -0.067004  ]
77,0,[31.918465],[-2.0180056  -0.54651153],[22.986843],[-0.45197266 -0.28023732]
77,1,[37.443558],[-0.78449845 -0.7109752 ],[47.913074],[-4.193679  1.522009]
78,0,[39.329075],[-1.138686  -1.2169015],[56.214592],[-1.8012722   0.46778864]
78,1,[32.034252],[-1.4699081   0.81108904],[55.87136],[-2.3431816  2.3174562]
79,0,[24.905167],[-0.20979635  0.26833242],[61.43724],[-2.445009   0.9149987]
79,1,[39.333225],[-1.5180744   0.03561319],[23.527323],[ 0.01357095 -0.88640726]
80,0,[26.5034],[-0.59758115 -0.17808376],[28.451515],[0.75716335 0.6267939 ]
80,1,[37.213566],[-1.5061126   0.78921247],[30.897655],[-1.1359942 -0.2666024]
81,0,[34.16485],[-1.7297347   0.70013887],[28.036236],[-0.8564253 -0.4565155]
81,1,[37.999744],[-0.309919   0.9066321],[33.288307],[-0.9548271 -1.8624172]
82,0,[37.672928],[-3.5603435  1.1694531],[28.497044],[ 6.573283 -2.474085]
82,1,[25.683071],[ 0.7297534  -0.03901301],[65.47061],[-3.4388385  1.5271456]
83,0,[37.365456],[-3.0554967   0.07576436],[25.606504],[-0.67964864 -0.11349839]
83,1,[31.8452],[-1.557912   0.6428742],[26.50301],[-0.55234945 -1.6547145 ]
84,0,[34.588272],[-3.0104284   0.12588339],[56.666256],[-3.7109988  1.2397939]
84,1,[32.123512],[-2.069653  -1.0886246],[23.30862],[-0.11959152 -0.14488995]
85,0,[26.60751],[-0.3170842  -0.05035603],[23.478783],[-0.81337273 -0.26091874]
85,1,[32.9172],[-0.7413122  -0.04429494],[58.2405],[-4.3077254  0.6193531]
86,0,[26.973465],[-1.7098521   0.08161427],[25.751852],[0.8267568  0.01321812]
86,1,[27.290201],[-0.77711743  0.0140018 ],[67.91305],[-4.3005075  1.8773992]
87,0,[31.571028],[-2.2121413   0.46247596],[24.18497],[ 0.73581636 -1.2652107 ]
87,1,[39.0065],[-2.1298556   0.21130939],[33.678528],[-0.72309315  0.5882538 ]
88,0,[32.25968],[-1.1291561   0.11570902],[24.607752],[-0.32090348 -0.2551325 ]
88,1,[29.250622],[-0.4034328  -0.01306231],[72.96411],[-6.012285   2.5005548]
89,0,[34.2375],[-0.9734397  -0.04035462],[26.542824],[-0.8188672 -0.6090938]
89,1,[27.094707],[-0.8522743  -0.27593476],[28.891773],[ 0.36988318 -0.80704075]
90,0,[28.208244],[-3.1951945   0.99703735],[76.21819],[-6.2267733  3.5006773]
90,1,[42.457916],[-1.198647   1.1224315],[29.462679],[-0.46261638 -0.28400832]
91,0,[27.983946],[-0.15533645 -1.3026931 ],[21.605844],[ 1.1354916  -0.49681777]
91,1,[28.628458],[-0.75295866  0.1833734 ],[53.933937],[-3.3157785   0.33933568]
92,0,[41.964005],[-2.8819551  -0.06140295],[39.278564],[-1.6715235   0.27459723]
92,1,[32.544716],[-1.0233846  0.7938625],[30.991472],[0.05837031 0.17620341]
93,0,[30.959246],[ 0.02683942 -0.4254551 ],[34.759754],[-1.0370313  0.7096085]
93,1,[43.729855],[-2.1565845  -0.38914067],[32.667458],[-1.1458532  -0.15515782]
94,0,[28.058804],[-0.8091301  0.97404  ],[39.42944],[-0.46337777  0.36260492]
94,1,[36.8431],[-0.00278179  0.88132113],[61.882366],[-4.0106516  0.2104745]
95,0,[33.762524],[-1.212364   0.8689193],[26.727846],[-0.66597456 -0.3655252 ]
95,1,[26.997332],[-0.753669    0.35306317],[25.437263],[-1.0551263  -0.03867379]
96,0,[28.531738],[-1.3697654  -0.27078268],[69.78462],[-2.2727456  2.50866  ]
96,1,[37.61019],[-2.97622     0.58413625],[53.399555],[-2.5642805  0.9421671]
97,0,[28.546352],[-1.0265981  0.5861584],[25.197262],[0.28159925 0.04515524]
97,1,[38.10349],[-0.61590886 -1.2663567 ],[63.98986],[-3.7530847  1.8569314]
98,0,[33.577408],[-2.527648    0.90278405],[78.02178],[-4.673397  2.534547]
98,1,[31.048954],[-1.358083   -0.06121321],[19.828802],[ 0.22816081 -0.9375017 ]
99,0,[36.236618],[-2.948034    0.32134634],[32.34394],[-2.7921748  0.5055366]
99,1,[33.131905],[-1.7643554 -1.0537747],[24.721226],[ 0.1339704 -1.4682629]
100,0,[39.734062],[-1.8561684   0.04867513],[33.20382],[-1.090492  -0.7243878]
100,1,[50.825275],[-2.738396    0.48616993],[25.408455],[-0.72349954  0.5489221 ]
101,0,[31.477558],[-0.94674075 -0.32970613],[57.213474],[-2.1404068  1.4735025]
101,1,[28.210451],[-0.83756495  0.41184086],[48.894157],[-2.4860635  3.0509002]
102,0,[39.052544],[-1.6260667   0.12255771],[41.837067],[-2.8539891 -1.252586 ]
102,1,[34.84647],[-2.1770947  -0.04600114],[33.090927],[-2.889857    0.13076787]
103,0,[37.31053],[-1.3422717  -0.24823661],[27.329784],[-1.1176722  -0.33306748]
103,1,[29.318775],[-0.42590076 -0.4847265 ],[73.71646],[-2.1360073  2.4167213]
104,0,[27.662624],[-0.5108017   0.19335519],[22.246096],[ 0.12212345 -0.6461514 ]
104,1,[36.867966],[-1.2661172  1.2086247],[65.69354],[-3.1758804  2.4285376]
105,0,[35.871994],[-1.5365365  1.7279766],[37.0168],[-1.8382593  0.4971313]
105,1,[32.839493],[-0.5281519 -0.9870295],[32.203873],[ 0.7699028  -0.95179117]
106,0,[27.256977],[-0.48391843  0.23012538],[56.561924],[-4.0703435  0.6954642]
106,1,[34.580097],[-1.2743568  1.0517789],[47.075645],[-2.1369698  0.9439792]
107,0,[25.652727],[0.10912444 0.35698825],[67.37198],[-4.6721597  2.1809962]
107,1,[33.90324],[-1.1308818  0.4053067],[26.806753],[-0.8682852 -0.7955158]
108,0,[33.749657],[-2.0679379  -0.03233542],[59.624577],[-3.211535   1.6786106]
108,1,[36.583954],[-1.8859032  0.0816337],[17.798746],[0.2170144  0.22244675]
109,0,[22.633785],[-0.33843982 -0.17746828],[23.92667],[-1.3953834  -0.50593966]
109,1,[32.75119],[-1.8047552  0.6606732],[25.84248],[-0.8167194  -0.41923004]
110,0,[40.68407],[-0.99790096  0.18556769],[62.858376],[-3.1722174  -0.21044962]
110,1,[27.688225],[-1.3214045  -0.22040768],[44.58277],[-2.5118587  1.9246705]
111,0,[24.120527],[-0.75638497 -0.61864436],[22.003681],[-0.20641278  0.52789694]
111,1,[29.067165],[-1.2332329 -0.869363 ],[61.40684],[-4.188645   1.8538294]
112,0,[41.856762],[-2.1039214   0.76600516],[24.113783],[-0.9711704 -0.8156581]
112,1,[36.59714],[-1.4665147 -0.6188359],[63.542763],[-6.3802676  1.696282 ]
113,0,[44.239216],[-2.0236843   0.35047406],[28.867252],[-1.5511557 -1.1365908]
113,1,[27.060387],[-0.8608717 -1.0539199],[26.539589],[-1.2866694  -0.04853939]
114,0,[32.213173],[-1.4457461   0.02001306],[24.967596],[-1.3114233 -0.7551191]
114,1,[37.444374],[-0.83576584 -0.09626819],[56.26595],[-2.6320822  -0.31513774]
115,0,[41.914288],[-1.7699053  1.5461804],[24.299438],[0.46993023 0.53308934]
115,1,[37.376926],[-1.2085949  0.8350587],[53.035957],[-1.4504912   0.25083834]
116,0,[28.376148],[-0.7535962  -0.69933397],[44.660576],[-3.302714   1.0834246]
116,1,[28.84917],[-1.1591774  -0.45113194],[55.526306],[-3.650967   2.6049216]
117,0,[46.414726],[-3.9728065  0.7361941],[29.22091],[0.05255605 0.17241924]
117,1,[53.429478],[-2.636971   -0.48804873],[32.82361],[0.18928768 0.4476493 ]
118,0,[25.650515],[-0.32178926  0.33017874],[54.943066],[-3.061328   0.4554758]
118,1,[48.44309],[-3.844451   2.4638567],[19.54732],[0.10132395 0.44252068]
119,0,[40.42854],[-2.440093   -0.06280401],[27.13389],[ 0.50487494 -1.2270879 ]
119,1,[26.40476],[-0.6839605  -0.26633888],[27.634197],[-0.3931896  -0.63555795]
120,0,[32.491608],[-0.9448639   0.07020427],[41.916798],[-1.6237062   0.70274276]
120,1,[55.831577],[-2.0913029  0.47055  ],[25.139244],[-0.5937872  -0.22330649]
121,0,[26.036924],[0.64687055 0.54410875],[58.483143],[-3.5917966  2.4407952]
121,1,[30.514172],[-0.8539442   0.52466846],[22.681297],[ 1.4752029  -0.31988657]
122,0,[43.9215],[-2.9745476  0.8915424],[22.68844],[-1.3998585  -0.02317475]
122,1,[29.55071],[-0.0565073  1.209986 ],[60.365677],[-3.8928556  1.960124 ]
123,0,[23.555658],[-0.60322046 -0.3911635 ],[66.76809],[-1.3076009  3.2229223]
123,1,[33.96649],[-2.1236      0.17096747],[24.435982],[ 0.02781802 -0.227973  ]
124,0,[25.759449],[ 0.25996822 -0.20510468],[43.34713],[-2.8003178  2.0228045]
124,1,[44.645844],[-2.3174829e+00  2.6415288e-04],[63.6409],[-3.6913242  2.954754 ]
125,0,[31.133875],[-1.4072334  -0.25385994],[65.53346],[-4.8743286  3.253942 ]
125,1,[29.999756],[-1.1539307  -0.61105704],[23.258976],[-0.61501175 -0.04138684]
126,0,[30.384151],[-1.428435   -0.17587557],[31.472918],[-1.658291  0.795681]
126,1,[30.209875],[-1.1425319 -0.7128787],[26.67516],[-0.6776813  0.979763 ]
127,0,[35.99102],[-2.057977   1.1658925],[63.457275],[-2.9775918  -0.59887105]
127,1,[40.15238],[-1.4776216 -0.2406767],[30.719755],[ 0.21946402 -0.38152498]
128,0,[35.54386],[-1.3951658   0.81182975],[58.390213],[-3.3719254  0.9342336]
128,1,[22.993843],[-0.07791658 -0.4575653 ],[37.17685],[-2.7355008   0.71467865]
129,0,[28.030264],[-0.59890455 -0.17248495],[23.687454],[-0.90776336  0.8160906 ]
129,1,[36.846664],[-1.7960211  -0.36826086],[63.90422],[-2.9934576  1.2358203]
130,0,[32.971325],[-2.3717103 -0.5005557],[31.032948],[-1.8009006  -0.28620738]
130,1,[36.636036],[-1.5947698   0.17658885],[30.422081],[-0.08875607 -0.22604318]
131,0,[47.893326],[-2.7857203  0.5895635],[35.640564],[-1.0813788   0.03994618]
131,1,[32.32314],[-2.3057566  0.5463182],[32.014908],[-1.6273954  -0.79950136]
132,0,[23.613287],[-0.0009041 -0.5240537],[31.050282],[-2.2758946  1.271098 ]
132,1,[34.13089],[-1.2504725  -0.02007258],[28.373192],[-0.34627175  0.3241918 ]
133,0,[34.154156],[-1.0076841  1.2613388],[62.256138],[-3.4119787  1.0486898]
133,1,[35.910313],[-1.463213   0.1534173],[29.19981],[-0.9147699   0.22863825]
134,0,[30.12632],[-1.1846174  -0.99819875],[48.418877],[-1.1745867  2.8484085]
134,1,[31.407665],[-1.6275655  -0.59281087],[31.565691],[-0.21661542 -0.05268569]
135,0,[39.04785],[-1.944738   0.5122706],[69.75761],[-2.3269296   0.07874618]
135,1,[30.060884],[-1.8003173  -0.31455743],[23.348366],[-0.3726585  -0.05236242]
136,0,[41.21276],[-0.5862522 -0.2621183],[22.253582],[-0.91203094  0.626509  ]
136,1,[40.35875],[-2.3639314   0.12538867],[23.84289],[-0.74320686 -0.51269376]
137,0,[26.295527],[-0.14903463  0.76742816],[21.548235],[-0.66685337  0.27229565]
137,1,[38.100548],[-1.684039    0.70778227],[35.66635],[-2.2025745  0.2674687]
138,0,[39.838875],[-0.9870528  0.8490481],[29.640102],[-0.11438178 -0.04689032]
138,1,[33.225838],[-1.7510929  1.4378743],[24.733902],[-1.1184384   0.15869306]
139,0,[49.339657],[-2.7790825  0.6014209],[32.137604],[-1.2611231   0.20224221]
139,1,[31.634207],[-1.0636331   0.17236103],[30.712608],[0.05306096 0.0154077 ]
140,0,[29.64517],[-1.9394222  1.2014176],[62.565903],[-5.4912333  1.602667 ]
140,1,[24.751387],[-0.14764978  0.20750646],[24.73399],[-0.679725  -0.7161373]
141,0,[27.318903],[-1.4547329  -0.63197255],[34.400753],[-1.8891982  0.3837912]
141,1,[34.59662],[-1.885523   -0.24831486],[26.861237],[ 0.61680865 -0.49477184]
142,0,[30.264555],[ 0.20441617 -0.20159404],[55.755047],[-2.8366027   0.78874934]
142,1,[27.41628],[-1.316451 -0.289049],[34.443645],[-0.9399569  0.1348343]
143,0,[30.902855],[-0.9577868   0.48003155],[23.253666],[ 1.2774081 -1.1372054]
143,1,[32.47854],[-1.7158709  -0.37094218],[30.850061],[-1.6059749  0.5461513]
144,0,[35.179558],[-0.26974446 -0.48078972],[27.64931],[-1.4899728  -0.78109926]
144,1,[42.285202],[-2.6122956  2.1453443],[29.573357],[0.15836968 0.45418793]
145,0,[29.328066],[-1.5113325  -0.16433635],[70.980385],[-6.5802946  2.2413323]
145,1,[36.65546],[-1.1249374   0.16466333],[23.286993],[0.33267742 0.01821692]
146,0,[33.777363],[-1.7826375 -1.1143613],[24.246134],[-0.23893736 -1.1635282 ]
146,1,[26.083067],[ 0.25200358 -0.61642843],[65.644226],[-3.8152246  1.1142057]
147,0,[48.650127],[-3.1289747   0.99845594],[23.152353],[ 0.05987044 -1.0814604 ]
147,1,[36.198437],[-3.4477682  0.9609174],[30.933964],[-0.5444452 -0.8468559]
148,0,[43.93064],[-1.9305049  2.0480697],[24.676718],[-0.0080225 -0.3952788]
148,1,[27.353363],[-0.8128438  -0.22300246],[26.727077],[-1.5344805  -0.18153895]
149,0,[28.410501],[-0.28723466 -0.65881866],[42.914383],[-2.1448247   0.56652623]
149,1,[36.872158],[-1.5858248  -0.68328387],[72.801605],[-5.227568    0.17953654]
150,0,[34.46657],[-2.2697525 -1.0261875],[25.484755],[-0.1041352   0.22388874]
150,1,[29.669792],[-1.8278509  -0.77584535],[28.939058],[0.51736045 0.17306621]
151,0,[35.121967],[-0.9984802  -0.64189607],[22.60048],[-0.3162111  0.978728 ]
