Epoch,Image Index,Original Age Prediction,Original Gender Prediction,Noisy Age Prediction,Noisy Gender Prediction,Rotation Age Prediction,Rotation Gender Prediction,Brightness Age Prediction,Brightness Gender Prediction,Contrast Age Prediction,Contrast Gender Prediction
4,2,[33.03308],[-1.3386735   0.26843578],[33.49115],[-1.3089907   0.38875234],[32.69292],[-0.9274075   0.08754851],[36.227913],[-1.5962108   0.41568512],[35.18815],[-1.4507176   0.29860032]
4,3,[32.641655],[-1.2263111   0.17844115],[28.993332],[-0.845762    0.04510893],[39.016285],[-1.9818844  0.6351084],[42.210773],[-1.8735052  0.4544419],[41.926697],[-1.800355    0.42565078]
5,0,[55.53101],[-3.3535597  1.3177648],[50.69409],[-2.9576542  1.1640873],[36.211285],[-1.6554003   0.48781067],[48.86778],[-2.3000836  0.5933059],[48.081608],[-2.2239165  0.539888 ]
5,1,[41.843567],[-2.1356661  0.8283245],[40.180187],[-2.0261018   0.83579427],[36.2761],[-1.6953346  0.5927992],[36.740963],[-1.6266459  0.5492138],[34.95386],[-1.4714558   0.46395808]
5,2,[29.485767],[-0.80131286  0.02859767],[29.307337],[-0.7807846   0.01570213],[36.39335],[-1.601485   0.4393201],[44.726727],[-1.9329454  0.4182046],[42.528915],[-1.7360758   0.32749385]
5,3,[37.392723],[-1.6679437   0.43932366],[38.09175],[-1.9724122   0.64046067],[33.383163],[-1.3341949   0.25031567],[36.83017],[-1.3809311   0.30015838],[37.587044],[-1.4378573  0.3087693]
6,0,[59.81363],[-3.9363856  1.5082968],[57.208168],[-3.825118   1.5122256],[35.75946],[-1.6669434   0.54807913],[42.42233],[-1.9336046  0.5260795],[48.027935],[-2.4251142   0.69060224]
6,1,[41.966957],[-2.0819173   0.65878373],[38.605663],[-1.8701726  0.6311386],[36.34864],[-1.5494131   0.26795262],[41.2902],[-1.8968331   0.51965004],[40.12699],[-1.7303563  0.4229998]
6,2,[37.994892],[-1.8870989   0.59088403],[40.51802],[-2.179555   0.7999236],[25.851053],[-0.5407824 -0.1865099],[37.65385],[-1.8477591  0.5582519],[37.088623],[-1.7267616   0.42957062]
6,3,[36.342476],[-1.6804663  0.5726406],[35.771637],[-1.7955478  0.6470063],[31.775753],[-1.1025928   0.19460382],[37.090466],[-1.439391    0.31373745],[37.185898],[-1.4366407   0.29700238]
7,0,[38.98118],[-1.8656033  0.579477 ],[33.17545],[-1.2816099   0.24449457],[40.0245],[-1.9684829  0.6849657],[36.779545],[-1.5801455   0.38967234],[45.095627],[-2.1879675  0.6310081]
7,1,[34.323143],[-1.3220067   0.44514602],[32.980774],[-1.2720423   0.34613234],[33.75715],[-1.2708362  0.3415143],[36.32997],[-1.4840231  0.4697129],[34.912304],[-1.3575993  0.4151309]
7,2,[36.13089],[-1.828334    0.54929674],[34.447067],[-1.6063738   0.46489835],[35.395107],[-1.5331478   0.48249388],[35.39001],[-1.3855822   0.24719734],[34.629528],[-1.2231503   0.16181274]
7,3,[30.340239],[-0.9162636   0.15977995],[25.439684],[-0.6042835  -0.05163536],[39.91224],[-1.9731642   0.60369843],[32.584953],[-1.0016106   0.10246427],[33.39949],[-1.0461755   0.10946994]
8,0,[41.90708],[-2.0226388  0.6181757],[45.003853],[-2.4349904  0.8782174],[31.77356],[-1.2469097   0.27343577],[43.094986],[-2.059227   0.6636539],[42.067223],[-2.0020251  0.633161 ]
8,1,[34.264587],[-1.6291809   0.44384527],[34.282444],[-1.7574404   0.47946107],[32.123924],[-1.2102405   0.09791727],[40.75531],[-1.9044896   0.56080395],[38.32786],[-1.6299928   0.42675132]
8,2,[32.063713],[-1.2495377  0.2563225],[32.11483],[-1.26905     0.21923979],[35.572865],[-1.506451   0.4253114],[39.412296],[-1.9058448  0.6612831],[36.583336],[-1.7360445  0.589981 ]
8,3,[38.407524],[-1.6231765   0.33550894],[40.50195],[-1.902975    0.49640626],[41.83457],[-2.0542688   0.55568874],[35.056335],[-1.4210336   0.31954384],[34.624615],[-1.3548394   0.27274853]
9,0,[32.775993],[-1.2077132   0.23682947],[35.188023],[-1.5380484   0.40777034],[36.80645],[-1.784615    0.59027827],[40.37744],[-1.8711921  0.582192 ],[37.30168],[-1.6297576   0.51404977]
9,1,[43.391308],[-2.2410235   0.65886265],[36.447968],[-1.7055625   0.57020384],[39.949654],[-2.0574687   0.78217727],[39.735283],[-1.842091    0.55012304],[42.40716],[-2.0587897   0.60982245]
9,2,[38.56088],[-1.8362056  0.6435051],[35.435333],[-1.6657454  0.6068329],[41.010098],[-2.0595045   0.79193735],[33.723824],[-1.1673133   0.06407517],[32.934193],[-1.1087673  0.0510298]
9,3,[46.06654],[-2.6352139  1.1688169],[44.530178],[-2.5161877  1.0936276],[38.984375],[-1.8449985  0.5794736],[43.752285],[-2.3997455  1.0143557],[45.52096],[-2.4959862   0.99380475]
10,0,[57.121292],[-3.5023096  1.2541554],[51.544926],[-3.110394   1.2173272],[32.96559],[-1.2483616  0.2194152],[45.672012],[-2.1864467  0.6617926],[43.01355],[-1.9319841  0.5647571]
10,1,[28.748276],[-0.7363514 -0.0893717],[26.814201],[-0.54950356 -0.10665168],[37.28483],[-1.6378541   0.44425428],[36.860344],[-1.5503829  0.457942 ],[37.56425],[-1.5891815   0.43418217]
10,2,[47.61773],[-2.7244368   0.99860865],[45.682503],[-2.5947108  0.9635226],[39.4541],[-1.9906081  0.7770892],[52.715744],[-3.077501   1.0530457],[45.494522],[-2.4556046  0.8405761]
10,3,[43.10534],[-2.0582078  0.5768345],[50.011703],[-2.7452211   0.79656726],[37.174892],[-1.6438397  0.4635874],[34.519043],[-1.3027009   0.18840076],[36.68976],[-1.5295004  0.2850985]
11,0,[72.51975],[-4.7034144  1.5212517],[57.895626],[-3.63732    1.3435462],[37.185043],[-1.7234876   0.72084063],[54.146538],[-2.761623   0.7465628],[58.54377],[-3.1770205   0.87999636]
11,1,[38.20075],[-1.9789633  0.7404364],[35.840828],[-1.7803532   0.68990046],[40.954334],[-2.123782    0.61505216],[32.378654],[-0.90429807  0.06413899],[32.34298],[-0.8709966   0.04088293]
11,2,[24.13036],[-0.13474171 -0.39569956],[24.129688],[-0.27970642 -0.3063763 ],[35.352898],[-1.5676953  0.4358288],[39.509804],[-1.6457741   0.40942818],[37.239437],[-1.4532715   0.32561135]
11,3,[42.63274],[-2.2760959   0.76722354],[38.966698],[-2.1381216   0.85309786],[35.39264],[-1.5956432   0.57444817],[35.270832],[-1.2037189   0.17777412],[34.22098],[-1.1108898   0.14038621]
12,0,[39.146107],[-2.0137248  0.7220419],[37.638554],[-1.8978359  0.6416028],[34.830853],[-1.3942053   0.40531063],[39.134476],[-1.5875882   0.32038426],[37.61822],[-1.5487834   0.39027405]
12,1,[28.257425],[-0.79067427  0.02649933],[27.366302],[-0.65464413  0.01428141],[37.658314],[-1.6624058  0.5783298],[33.50787],[-1.2230581   0.29060048],[34.901176],[-1.4335431   0.41464335]
12,2,[40.805874],[-1.8372027   0.47425795],[39.192635],[-1.8508118   0.63105977],[35.437866],[-1.4735751   0.40602994],[38.661793],[-1.7181352  0.5056794],[38.683163],[-1.7169579  0.5157062]
12,3,[35.323105],[-1.0024701   0.07057621],[38.361652],[-1.5652857   0.42864412],[33.894226],[-1.1505662   0.05769475],[40.12713],[-1.5434711   0.21689193],[39.46403],[-1.4738554   0.22736348]
13,0,[32.64604],[-1.0031385   0.29659587],[31.834396],[-0.83251464  0.26796788],[35.152317],[-1.7254341  0.5928569],[35.567787],[-1.3046234   0.26005405],[34.822037],[-1.0344118   0.01598069]
13,1,[36.755142],[-1.658084    0.42662507],[34.985916],[-1.5804424   0.45671898],[43.006405],[-2.2244587  0.6706361],[35.58425],[-1.3115671   0.28857327],[34.180832],[-1.1545607   0.21083255]
13,2,[37.343956],[-1.6028829   0.42779928],[33.557743],[-1.3051152   0.27084905],[30.777618],[-1.026133    0.19719057],[35.08826],[-1.1829349   0.15177445],[34.41869],[-1.0738596   0.08088247]
13,3,[33.152565],[-1.1950082   0.24023075],[31.532516],[-1.1342726   0.22890456],[35.49678],[-1.5738405  0.5092487],[36.1806],[-1.3227423  0.2064948],[35.672703],[-1.2060256   0.10601045]
14,0,[34.46331],[-1.3007947   0.24225529],[33.441963],[-1.4965192  0.4582972],[34.426357],[-1.3372728  0.2982549],[38.49833],[-1.7637675   0.50048053],[39.298122],[-1.8731588   0.60001415]
14,1,[38.464394],[-1.883747    0.65509003],[36.716434],[-1.7758332  0.6337476],[36.313457],[-1.5877938  0.4380464],[34.346687],[-1.187707    0.16516148],[33.845367],[-1.1096821   0.14465289]
14,2,[39.338165],[-1.7181083   0.33730572],[38.14938],[-1.8041915   0.49785942],[32.140797],[-0.92702127  0.05282713],[39.55987],[-1.7922927   0.46767884],[43.369675],[-2.1296372  0.5663355]
14,3,[43.395256],[-2.3584142  0.7725532],[44.706337],[-2.4594655   0.88726276],[36.754612],[-1.5381205  0.5205604],[36.315712],[-1.6109084   0.43123823],[36.69868],[-1.6238676   0.43484133]
15,0,[31.73199],[-1.3121564   0.25834435],[36.01497],[-1.8443786  0.6750726],[34.988865],[-1.5344867   0.49417168],[34.03745],[-1.2559043   0.24540101],[34.429207],[-1.3245918   0.31664413]
15,1,[32.610764],[-1.0669087  0.1768776],[33.68365],[-1.3388094   0.41283792],[33.81017],[-1.340243    0.35653883],[33.171627],[-1.1509302  0.1712691],[34.88084],[-1.2273337  0.2110608]
15,2,[29.964073],[-0.8088132  0.1140507],[27.155022],[-0.5438975  -0.08952576],[37.71431],[-1.7508838  0.7213843],[35.278957],[-1.3832663  0.363818 ],[33.593964],[-1.2243396  0.2826059]
15,3,[33.44765],[-1.3638645   0.20470996],[33.84827],[-1.4586321  0.3074264],[36.807674],[-1.4373177   0.32490146],[32.480965],[-1.2197737  0.2774337],[34.27141],[-1.3694046   0.36252475]
16,0,[52.88269],[-3.0754013  1.1927385],[53.208508],[-3.144923   1.2405001],[38.42819],[-1.82274     0.62850344],[59.05635],[-3.5422082  1.181716 ],[52.324352],[-2.8872209   0.92509586]
16,1,[34.497444],[-1.3416944   0.33860338],[30.907387],[-1.1148641  0.2942561],[34.392796],[-1.2134266   0.28941166],[33.033756],[-1.2762533   0.30742943],[33.194744],[-1.2722734   0.33349293]
16,2,[26.653454],[-0.6619657  -0.07198745],[25.325302],[-0.44686657 -0.19244272],[36.75825],[-1.6110939   0.50666696],[32.474197],[-1.1348404   0.19782172],[31.850992],[-0.95414567  0.1420741 ]
16,3,[29.735212],[-0.9347408   0.06028111],[29.200495],[-0.9298693   0.04500864],[32.306244],[-1.2705625  0.3501237],[34.755337],[-1.2498573   0.21384211],[35.561855],[-1.3402444   0.23694022]
17,0,[32.601692],[-1.1933334   0.21977668],[32.461563],[-1.3258007   0.32926565],[35.758938],[-1.4977279   0.45642364],[33.178703],[-1.0542974   0.07295422],[32.95137],[-1.0771346   0.06761198]
17,1,[32.35804],[-1.2800821   0.34462804],[32.44342],[-1.3424071   0.38241637],[33.586945],[-1.2585348  0.2523781],[33.227722],[-1.1118456   0.21053787],[33.2315],[-1.0908958   0.18631949]
17,2,[32.278408],[-1.3163984  0.2857011],[36.342945],[-1.8045528  0.6697585],[39.871925],[-1.7498374   0.38641018],[34.44369],[-1.1452086   0.20338376],[34.63069],[-1.0917658   0.09798457]
17,3,[35.165176],[-1.3905647   0.32951695],[39.155743],[-1.9535404  0.6876704],[40.938473],[-2.0836601   0.74644667],[38.524902],[-1.4194258   0.32953155],[37.067173],[-1.3185526   0.27608746]
18,0,[37.394135],[-1.8597397   0.84130925],[39.9878],[-2.2277641   0.90582126],[32.243164],[-1.5097647   0.37101668],[36.81669],[-1.7767502  0.6137394],[37.091267],[-1.8140503  0.634967 ]
18,1,[37.783268],[-1.8262957   0.57024497],[37.5427],[-1.8775874   0.49551964],[32.88336],[-1.2766564   0.19894286],[36.022434],[-1.3545747   0.39956957],[36.710735],[-1.3929173  0.4251613]
18,2,[33.327896],[-1.2352158  0.1677985],[33.23993],[-1.3067836  0.2855208],[31.490946],[-1.2390525   0.22120436],[33.760395],[-1.1464527   0.24451356],[34.290394],[-1.190351    0.26209772]
18,3,[81.60109],[-5.3487844  1.5928811],[82.833115],[-5.495451   1.6909657],[40.640953],[-1.8289765   0.49442947],[71.678604],[-4.506835   1.3696613],[64.58894],[-3.69102    1.1017143]
19,0,[32.742218],[-1.2161088   0.24762984],[33.087074],[-1.3780351  0.3275389],[38.23229],[-1.8791991   0.64715385],[41.648758],[-1.9089993  0.5064406],[42.161915],[-1.9222869  0.4847334]
19,1,[34.106365],[-1.1077805   0.17812933],[33.802185],[-1.3433589   0.35167062],[34.41114],[-1.3428223  0.3726139],[32.916782],[-0.82951784 -0.10733834],[33.238377],[-0.8546063  -0.08366729]
19,2,[33.590767],[-1.2401826   0.28220725],[33.84561],[-1.3187392   0.31505835],[34.512634],[-1.2362332   0.34339482],[33.28611],[-0.8850833  -0.02184318],[33.471756],[-0.9239577   0.01050666]
19,3,[29.838264],[-0.9525989   0.08531415],[29.72234],[-1.0156736   0.13241984],[35.04338],[-1.5046595   0.43255872],[34.733685],[-1.1181474   0.13384007],[34.851357],[-1.1578832   0.14954554]
20,0,[35.13132],[-1.3221705   0.30400437],[36.228874],[-1.6275569   0.47117978],[36.25002],[-1.6224476  0.467925 ],[33.994045],[-1.1454189   0.23665787],[35.386],[-1.2548431  0.2661543]
20,1,[53.53004],[-3.2709064  1.1997477],[47.556667],[-2.677111   0.9507149],[45.46723],[-2.3506696   0.80385464],[47.004436],[-2.3474507  0.7516895],[47.74148],[-2.4327304  0.8060896]
20,2,[24.742151],[-0.26524335 -0.33596975],[24.889431],[-0.2986828  -0.26549438],[38.322544],[-1.766721    0.58376616],[34.77749],[-1.3717291   0.27603084],[33.16941],[-1.1384581   0.12688757]
20,3,[29.700573],[-0.46017134 -0.32114798],[30.360508],[-0.65264755 -0.19990975],[30.436403],[-0.71492195 -0.08910551],[32.30423],[-0.8800032  -0.05986958],[32.027473],[-0.806677   -0.08528061]
21,0,[56.627907],[-3.5811293  1.3413717],[60.432858],[-3.8970447  1.4763887],[35.48067],[-1.6860034  0.5294997],[44.580936],[-2.2695904  0.7560944],[49.46054],[-2.6990583   0.91247994]
21,1,[76.943665],[-5.06893    1.6520885],[69.88002],[-4.5348434  1.4819717],[32.37134],[-1.1994098   0.30405217],[57.99643],[-3.4152126  1.1338962],[57.5335],[-3.2703443  1.01182  ]
21,2,[35.814327],[-1.4835995   0.33403462],[42.98208],[-2.1893275   0.68111867],[34.185776],[-1.3342491   0.29849094],[43.969395],[-1.9311711   0.41125703],[44.287647],[-1.98358    0.4480163]
21,3,[26.433132],[-0.6883217  -0.11477825],[22.995874],[-0.07862626 -0.37368977],[39.459587],[-2.0181787  0.7108249],[31.424109],[-0.9141389  0.2295853],[30.848793],[-0.7448253   0.11000477]
22,0,[24.893633],[-0.3218313  -0.26255298],[29.256239],[-0.7155384  -0.04001126],[30.060596],[-0.8561597   0.18544178],[30.146149],[-0.899266   -0.02188309],[31.365843],[-0.9472295  -0.02069931]
22,1,[39.766327],[-1.8285505   0.58057183],[37.072777],[-1.7390171  0.6524243],[35.473778],[-1.4579562   0.32124794],[38.6735],[-1.5963584  0.3888257],[39.721622],[-1.6968797   0.44018275]
22,2,[34.153187],[-1.4277283   0.41017693],[35.808342],[-1.5903822  0.6347743],[33.724255],[-1.2442102   0.28558725],[39.61257],[-1.4427266   0.27446693],[40.214085],[-1.4754959   0.27998787]
22,3,[41.628403],[-2.2682047  0.7704541],[43.426353],[-2.5117373  0.8854496],[35.804188],[-1.5478735   0.38990325],[36.72826],[-1.183685   0.2078046],[34.812416],[-0.971853    0.07577391]
23,0,[42.85809],[-2.203311    0.66885144],[45.522865],[-2.5585237  0.8777873],[42.639492],[-2.2144551  0.6806051],[34.302193],[-1.1085147   0.15477972],[35.20868],[-1.1365421   0.15698369]
23,1,[48.491875],[-2.8427262  1.0241506],[49.18683],[-2.940233   1.0634288],[37.454323],[-1.8280059   0.61601627],[40.46535],[-2.018914   0.6940486],[39.5746],[-1.9763645   0.72242707]
23,2,[51.325333],[-2.8593423   0.95777005],[46.55977],[-2.6172128  0.8859113],[31.579601],[-0.5563029   0.21495272],[45.569687],[-2.1291177  0.6835414],[47.542004],[-2.1754355   0.63896793]
23,3,[34.666027],[-1.4485266   0.43009365],[35.46526],[-1.570782    0.56518036],[35.755135],[-1.5098025  0.4215309],[33.87986],[-1.1226616   0.22136678],[34.037224],[-1.1399974   0.20124714]
24,0,[34.8441],[-1.662726    0.50131774],[31.181488],[-1.3667649   0.26545578],[39.097797],[-1.9204069  0.5487099],[41.240852],[-1.910299   0.4630112],[40.747063],[-1.8838426  0.4510392]
24,1,[36.88288],[-1.6616535  0.5557293],[35.664986],[-1.7254409  0.5816714],[38.75084],[-1.7741587   0.47648162],[34.69693],[-1.1013284   0.04506661],[34.319828],[-1.0779647   0.05822782]
24,2,[33.682713],[-1.2868123  0.2521888],[30.172712],[-1.0614289   0.18711658],[31.140057],[-1.114892    0.27617246],[36.233967],[-1.2790917   0.32264817],[34.357456],[-1.1906497  0.3029911]
24,3,[46.62978],[-2.4415154   0.76773924],[33.935642],[-1.3549714   0.40252697],[34.58277],[-1.542615   0.4598508],[38.911106],[-1.6662923   0.43731195],[42.47844],[-1.9637998   0.50807536]
25,0,[30.719622],[-0.89615595  0.068426  ],[32.88552],[-1.2583965   0.30080432],[33.584793],[-1.4328249   0.31175578],[33.700985],[-1.1773137   0.20869173],[32.494884],[-1.0685908   0.09242652]
25,1,[26.60839],[-0.5904304  -0.07900368],[29.443033],[-1.0979316   0.16546442],[36.98925],[-1.7298373   0.48618013],[35.26696],[-1.6023936   0.49689108],[32.99627],[-1.3436633  0.3533911]
25,2,[28.7099],[-0.5189643  -0.01877259],[30.731997],[-1.0041218   0.09181876],[37.545906],[-1.6548111  0.5810372],[26.503426],[-0.7223386  -0.03750634],[26.766365],[-0.7008159  -0.04414797]
25,3,[22.704344],[ 0.07123478 -0.39587992],[25.570066],[-0.44177914 -0.11544213],[41.556873],[-1.7769145  0.5495511],[34.182186],[-1.3882453   0.42078042],[31.144093],[-1.1103938  0.2073548]
26,0,[32.64511],[-1.0239364   0.09762706],[32.001038],[-1.1358366   0.14906354],[33.813904],[-1.2446443   0.29946434],[28.471485],[-0.6395879  -0.16327587],[29.491274],[-0.7095118  -0.06686699]
26,1,[36.63884],[-1.2049313   0.10534616],[36.603664],[-1.3470694   0.29418218],[30.372877],[-0.66160905  0.13712637],[40.47654],[-1.6199976   0.37341076],[39.3518],[-1.5156711   0.34929836]
26,2,[28.877014],[-0.7724506   0.01836421],[28.431599],[-0.7497892   0.04159778],[33.69532],[-1.1909899   0.05692784],[31.90118],[-1.2130157   0.26590747],[32.704613],[-1.271555    0.31380683]
26,3,[56.756855],[-3.2803636   0.90988666],[52.227615],[-3.065733    0.98039716],[33.655987],[-1.1405784   0.21601848],[49.550102],[-2.7606065  0.8189869],[50.90592],[-2.921652    0.84246033]
27,0,[55.77994],[-3.183245  0.903766],[46.146587],[-2.3063471  0.6052772],[46.58603],[-2.4104607  0.7768294],[46.036945],[-2.0212576   0.35554004],[50.501648],[-2.5266764  0.6497811]
27,1,[33.193478],[-1.4224297   0.43180197],[32.185966],[-1.2931638   0.32901907],[32.371902],[-1.1529685   0.15429007],[34.219242],[-1.1590585   0.20336778],[33.924763],[-1.1259724   0.19366248]
27,2,[29.546305],[-0.8016652   0.10183828],[29.259521],[-0.83488584  0.13041343],[32.65764],[-1.278602   0.3693726],[32.792114],[-1.1690018   0.18486296],[30.178991],[-0.83902204  0.00267725]
27,3,[29.247326],[-0.78328735 -0.02884404],[28.122173],[-0.5608179  -0.09039395],[40.020683],[-1.8813728  0.4780864],[33.622925],[-1.0104465   0.12906902],[35.63306],[-1.1361835   0.18675576]
28,0,[39.198338],[-1.7606386  0.5716436],[34.59896],[-1.4670233   0.52877975],[35.63997],[-1.4370883   0.36363417],[38.61232],[-1.6209003  0.5276562],[41.168995],[-1.8354777   0.60617024]
28,1,[32.495457],[-1.3339505   0.34027678],[32.126007],[-1.3494716  0.3051659],[37.194458],[-1.7715095  0.5392486],[31.673948],[-1.1502495   0.26448667],[30.142862],[-0.9126642   0.16438414]
28,2,[33.8446],[-1.2742271  0.4514805],[34.11423],[-1.3898337   0.52168727],[39.695206],[-1.9768227  0.6177416],[34.37182],[-1.2200881  0.3144065],[34.159805],[-1.2357811  0.2868653]
28,3,[73.65787],[-4.9138613  1.6884761],[66.05727],[-4.2797337  1.4770763],[37.905857],[-1.7045687  0.5225358],[57.695305],[-3.2320948   0.93809205],[50.8148],[-2.6711817  0.789487 ]
29,0,[38.566315],[-1.9582475   0.65243787],[39.363575],[-2.084565    0.77589005],[34.18268],[-1.368885    0.34576017],[36.310997],[-1.3605608  0.379081 ],[38.187374],[-1.5027211   0.43272132]
29,1,[34.765465],[-1.3601978   0.25585485],[31.275705],[-1.1133244   0.11262985],[33.65716],[-1.3199067   0.18204094],[42.31254],[-2.1662998  0.7307031],[42.53442],[-2.1468446  0.6990387]
29,2,[25.544266],[-0.49866015 -0.14354432],[27.608778],[-0.77545977 -0.00473504],[35.281532],[-1.5137999   0.54703707],[32.51046],[-0.7090014  -0.18553305],[32.604767],[-0.7326729 -0.1746842]
29,3,[35.09386],[-1.3002899  0.3708409],[36.03309],[-1.4230676   0.38334662],[36.61327],[-1.421756    0.34965032],[43.263123],[-1.9801179   0.48396325],[46.756676],[-2.3731773  0.6834903]
30,0,[34.2462],[-1.3323257   0.46020478],[34.003498],[-1.3912762  0.5460827],[33.493874],[-1.3344572  0.30583  ],[32.730408],[-0.93098557  0.18039306],[31.623125],[-0.87815654  0.09362464]
30,1,[20.574636],[ 0.4579633 -0.7636697],[21.145123],[ 0.35671085 -0.61233467],[35.19567],[-1.24412     0.08845012],[31.953009],[-0.9844011   0.06268556],[34.073654],[-1.0976489   0.14579062]
30,2,[60.072742],[-3.5436702  1.0409077],[56.323944],[-3.407757   1.1045505],[34.062637],[-1.4014624   0.31219846],[45.511044],[-2.3483582  0.6981136],[39.40013],[-1.7955182   0.46916604]
30,3,[28.59015],[-0.83773386 -0.17636035],[27.41938],[-0.6883205  -0.13702309],[31.907497],[-1.0361668   0.13483699],[33.638363],[-1.1715325   0.08416198],[35.45745],[-1.3168442   0.12213115]
31,0,[28.628595],[-1.0937225   0.19199534],[31.78237],[-1.511361    0.38283652],[38.106403],[-1.8241304   0.62656313],[36.643982],[-1.5368339  0.4206488],[35.876453],[-1.3922061  0.3387074]
31,1,[41.91281],[-2.0300937  0.674361 ],[38.957863],[-1.8329629  0.5818327],[32.082977],[-1.0586779   0.07886662],[41.29797],[-1.8701903  0.4970504],[40.672504],[-1.7998017   0.42291075]
31,2,[45.378807],[-2.288531   0.6217573],[39.692368],[-1.8688716  0.5035209],[35.337116],[-1.3698105   0.23918952],[47.841724],[-2.3191175  0.5975193],[49.843315],[-2.4552093   0.62948775]
31,3,[27.83229],[-0.68522525 -0.26627162],[26.766443],[-0.6328752 -0.2712598],[36.324303],[-1.548627    0.46588755],[34.733727],[-1.3241335  0.309794 ],[35.404266],[-1.4385266  0.3947866]
32,0,[33.349617],[-1.0260743   0.21438105],[32.951763],[-1.0309827  0.2170643],[38.3152],[-1.9452161  0.7104313],[38.68598],[-1.580068   0.4347729],[38.75847],[-1.6257288  0.4779665]
32,1,[29.939772],[-1.1489366   0.27903253],[36.78224],[-2.064063  0.754546],[38.885136],[-2.1359391  0.8206417],[35.746025],[-1.4549407  0.4010586],[35.67212],[-1.3981009   0.35773206]
32,2,[22.286777],[-0.32809007 -0.30923706],[22.602247],[-0.5111564 -0.2594127],[31.00674],[-0.7005288   0.04897821],[33.16553],[-1.11382     0.24126579],[33.412567],[-1.1451026   0.23706876]
32,3,[26.032106],[-0.32789475 -0.24142238],[26.42523],[-0.47017843 -0.15974824],[31.766565],[-1.0665284   0.19998391],[32.232883],[-1.0471722   0.03977792],[32.33322],[-1.0743032   0.04606861]
33,0,[35.643784],[-1.6607773  0.6218467],[36.749752],[-1.845066    0.76051974],[32.374146],[-1.241623   0.2650085],[36.36514],[-1.6902589  0.6672995],[37.16192],[-1.7867571   0.71529645]
33,1,[75.209564],[-5.1673684  1.8270873],[71.043686],[-4.7643623  1.7340221],[33.930984],[-1.3006716   0.27775103],[49.41354],[-2.5476477   0.79428273],[45.881912],[-2.2847285  0.68272  ]
